student_id,first_name,last_name,email_address,course_id,grades,marks
100001,Michael,Smith,michael.smith@sjsu.edu,ISDA204,F,78
100001,Michael,Smith,michael.smith@sjsu.edu,ISDA200,A,82
100001,Michael,Smith,michael.smith@sjsu.edu,DATA204,F,86
100001,Michael,Smith,michael.smith@sjsu.edu,ISDA202,A,71
100002,David,Williams,david.williams@sjsu.edu,ISDA201,A,89
100002,David,Williams,david.williams@sjsu.edu,DATA203,C,86
100002,David,Williams,david.williams@sjsu.edu,ISDA202,A,65
100002,David,Williams,david.williams@sjsu.edu,DATA202,B,55
100003,Michael,Martinez,michael.martinez@sjsu.edu,ISDA204,D,56
100003,Michael,Martinez,michael.martinez@sjsu.edu,ISDA201,B,60
100003,Michael,Martinez,michael.martinez@sjsu.edu,DATA204,A,57
100004,Alex,Smith,alex.smith@sjsu.edu,ISDA200,A,90
100004,Alex,Smith,alex.smith@sjsu.edu,DATA204,B,75
100004,Alex,Smith,alex.smith@sjsu.edu,ISDA201,D,89
100004,Alex,Smith,alex.smith@sjsu.edu,DATA200,B,54
100005,Alex,Brown,alex.brown@sjsu.edu,DATA201,A,79
100005,Alex,Brown,alex.brown@sjsu.edu,DATA204,D,94
100005,Alex,Brown,alex.brown@sjsu.edu,DATA202,D,64
100006,Jane,Garcia,jane.garcia@sjsu.edu,DATA203,B,97
100006,Jane,Garcia,jane.garcia@sjsu.edu,DATA202,C,100
100006,Jane,Garcia,jane.garcia@sjsu.edu,DATA204,F,58
100007,Emily,Garcia,emily.garcia@sjsu.edu,ISDA203,A,53
100007,Emily,Garcia,emily.garcia@sjsu.edu,DATA203,D,79
100007,Emily,Garcia,emily.garcia@sjsu.edu,DATA200,F,75
100007,Emily,Garcia,emily.garcia@sjsu.edu,DATA202,A,52
100008,Emma,Rodriguez,emma.rodriguez@sjsu.edu,DATA200,A,81
100008,Emma,Rodriguez,emma.rodriguez@sjsu.edu,DATA201,B,77
100008,Emma,Rodriguez,emma.rodriguez@sjsu.edu,DATA202,B,85
100009,David,Brown,david.brown@sjsu.edu,ISDA200,D,79
100009,David,Brown,david.brown@sjsu.edu,ISDA204,A,88
100009,David,Brown,david.brown@sjsu.edu,DATA201,B,90
100010,Alex,Miller,alex.miller@sjsu.edu,DATA202,D,67
100010,Alex,Miller,alex.miller@sjsu.edu,DATA201,A,71
100010,Alex,Miller,alex.miller@sjsu.edu,ISDA204,F,65
100010,Alex,Miller,alex.miller@sjsu.edu,ISDA202,A,77
100011,David,Johnson,david.johnson@sjsu.edu,ISDA201,A,75
100011,David,Johnson,david.johnson@sjsu.edu,DATA200,A,97
100011,David,Johnson,david.johnson@sjsu.edu,DATA201,D,72
100012,Sarah,Garcia,sarah.garcia@sjsu.edu,DATA202,A,62
100012,Sarah,Garcia,sarah.garcia@sjsu.edu,DATA201,A,94
100012,Sarah,Garcia,sarah.garcia@sjsu.edu,ISDA204,B,100
100013,Laura,Johnson,laura.johnson@sjsu.edu,DATA204,F,53
100013,Laura,Johnson,laura.johnson@sjsu.edu,ISDA201,A,88
100013,Laura,Johnson,laura.johnson@sjsu.edu,DATA202,B,74
100014,Laura,Martinez,laura.martinez@sjsu.edu,DATA200,B,92
100014,Laura,Martinez,laura.martinez@sjsu.edu,ISDA203,C,75
100014,Laura,Martinez,laura.martinez@sjsu.edu,DATA204,F,97
100014,Laura,Martinez,laura.martinez@sjsu.edu,ISDA204,B,66
100015,Laura,Williams,laura.williams@sjsu.edu,ISDA202,C,85
100015,Laura,Williams,laura.williams@sjsu.edu,DATA201,C,58
100015,Laura,Williams,laura.williams@sjsu.edu,DATA200,F,58
100015,Laura,Williams,laura.williams@sjsu.edu,DATA202,B,99
100016,Robert,Jones,robert.jones@sjsu.edu,ISDA201,B,54
100016,Robert,Jones,robert.jones@sjsu.edu,DATA201,C,82
100016,Robert,Jones,robert.jones@sjsu.edu,DATA203,C,58
100017,John,Williams,john.williams@sjsu.edu,ISDA203,D,63
100017,John,Williams,john.williams@sjsu.edu,DATA204,F,57
100017,John,Williams,john.williams@sjsu.edu,DATA203,F,86
100017,John,Williams,john.williams@sjsu.edu,DATA201,D,72
100018,John,Jones,john.jones@sjsu.edu,ISDA203,B,95
100018,John,Jones,john.jones@sjsu.edu,DATA201,D,97
100018,John,Jones,john.jones@sjsu.edu,DATA204,D,94
100019,John,Williams,john.williams1@sjsu.edu,ISDA201,D,51
100019,John,Williams,john.williams1@sjsu.edu,ISDA202,C,92
100019,John,Williams,john.williams1@sjsu.edu,DATA204,C,70
100020,Robert,Miller,robert.miller@sjsu.edu,ISDA204,A,62
100020,Robert,Miller,robert.miller@sjsu.edu,DATA200,F,89
100020,Robert,Miller,robert.miller@sjsu.edu,DATA204,F,70
100020,Robert,Miller,robert.miller@sjsu.edu,ISDA201,A,60
100021,Laura,Williams,laura.williams1@sjsu.edu,DATA200,F,95
100021,Laura,Williams,laura.williams1@sjsu.edu,ISDA200,F,85
100021,Laura,Williams,laura.williams1@sjsu.edu,DATA204,F,83
100022,David,Miller,david.miller@sjsu.edu,DATA201,B,57
100022,David,Miller,david.miller@sjsu.edu,ISDA203,D,54
100022,David,Miller,david.miller@sjsu.edu,ISDA200,A,58
100023,Jane,Brown,jane.brown@sjsu.edu,ISDA200,B,80
100023,Jane,Brown,jane.brown@sjsu.edu,DATA203,B,96
100023,Jane,Brown,jane.brown@sjsu.edu,ISDA203,D,62
100023,Jane,Brown,jane.brown@sjsu.edu,ISDA202,D,60
100024,Alex,Davis,alex.davis@sjsu.edu,ISDA200,F,83
100024,Alex,Davis,alex.davis@sjsu.edu,ISDA204,F,79
100024,Alex,Davis,alex.davis@sjsu.edu,DATA203,B,73
100024,Alex,Davis,alex.davis@sjsu.edu,ISDA203,D,78
100025,Alex,Miller,alex.miller1@sjsu.edu,DATA204,D,56
100025,Alex,Miller,alex.miller1@sjsu.edu,ISDA201,C,71
100025,Alex,Miller,alex.miller1@sjsu.edu,DATA201,F,63
100026,Michael,Williams,michael.williams@sjsu.edu,ISDA201,C,83
100026,Michael,Williams,michael.williams@sjsu.edu,ISDA204,B,57
100026,Michael,Williams,michael.williams@sjsu.edu,DATA200,D,61
100027,Laura,Smith,laura.smith@sjsu.edu,ISDA201,C,99
100027,Laura,Smith,laura.smith@sjsu.edu,DATA203,A,65
100027,Laura,Smith,laura.smith@sjsu.edu,DATA202,C,52
100027,Laura,Smith,laura.smith@sjsu.edu,DATA200,C,63
100028,Emma,Garcia,emma.garcia@sjsu.edu,ISDA201,A,72
100028,Emma,Garcia,emma.garcia@sjsu.edu,DATA202,C,94
100028,Emma,Garcia,emma.garcia@sjsu.edu,DATA200,F,74
100029,David,Miller,david.miller1@sjsu.edu,DATA202,F,86
100029,David,Miller,david.miller1@sjsu.edu,ISDA200,C,81
100029,David,Miller,david.miller1@sjsu.edu,ISDA201,D,74
100030,Sarah,Smith,sarah.smith@sjsu.edu,ISDA203,B,85
100030,Sarah,Smith,sarah.smith@sjsu.edu,DATA201,B,67
100030,Sarah,Smith,sarah.smith@sjsu.edu,DATA202,C,85
100031,Alex,Davis,alex.davis1@sjsu.edu,ISDA200,C,67
100031,Alex,Davis,alex.davis1@sjsu.edu,DATA200,D,81
100031,Alex,Davis,alex.davis1@sjsu.edu,ISDA202,C,52
100032,Robert,Rodriguez,robert.rodriguez@sjsu.edu,DATA204,B,62
100032,Robert,Rodriguez,robert.rodriguez@sjsu.edu,DATA203,C,81
100032,Robert,Rodriguez,robert.rodriguez@sjsu.edu,DATA200,A,70
100032,Robert,Rodriguez,robert.rodriguez@sjsu.edu,ISDA203,A,100
100033,John,Garcia,john.garcia@sjsu.edu,DATA202,C,82
100033,John,Garcia,john.garcia@sjsu.edu,ISDA202,A,84
100033,John,Garcia,john.garcia@sjsu.edu,DATA204,B,66
100034,Alex,Davis,alex.davis2@sjsu.edu,DATA204,F,66
100034,Alex,Davis,alex.davis2@sjsu.edu,ISDA201,A,94
100034,Alex,Davis,alex.davis2@sjsu.edu,ISDA204,C,82
100035,Emily,Rodriguez,emily.rodriguez@sjsu.edu,ISDA200,D,64
100035,Emily,Rodriguez,emily.rodriguez@sjsu.edu,DATA200,A,89
100035,Emily,Rodriguez,emily.rodriguez@sjsu.edu,ISDA201,A,51
100035,Emily,Rodriguez,emily.rodriguez@sjsu.edu,ISDA204,D,81
100036,David,Rodriguez,david.rodriguez@sjsu.edu,DATA204,A,68
100036,David,Rodriguez,david.rodriguez@sjsu.edu,DATA201,A,76
100036,David,Rodriguez,david.rodriguez@sjsu.edu,ISDA202,C,75
100037,Michael,Rodriguez,michael.rodriguez@sjsu.edu,DATA203,F,85
100037,Michael,Rodriguez,michael.rodriguez@sjsu.edu,DATA200,B,64
100037,Michael,Rodriguez,michael.rodriguez@sjsu.edu,DATA204,D,93
100037,Michael,Rodriguez,michael.rodriguez@sjsu.edu,ISDA202,D,66
100038,Sarah,Brown,sarah.brown@sjsu.edu,DATA201,C,85
100038,Sarah,Brown,sarah.brown@sjsu.edu,DATA203,C,66
100038,Sarah,Brown,sarah.brown@sjsu.edu,ISDA200,C,92
100039,Robert,Johnson,robert.johnson@sjsu.edu,DATA204,C,61
100039,Robert,Johnson,robert.johnson@sjsu.edu,DATA202,F,97
100039,Robert,Johnson,robert.johnson@sjsu.edu,DATA203,D,66
100039,Robert,Johnson,robert.johnson@sjsu.edu,ISDA201,A,50
100040,Michael,Rodriguez,michael.rodriguez1@sjsu.edu,ISDA203,B,72
100040,Michael,Rodriguez,michael.rodriguez1@sjsu.edu,ISDA204,A,80
100040,Michael,Rodriguez,michael.rodriguez1@sjsu.edu,DATA201,A,71
100041,Alex,Martinez,alex.martinez@sjsu.edu,ISDA200,D,86
100041,Alex,Martinez,alex.martinez@sjsu.edu,ISDA203,B,88
100041,Alex,Martinez,alex.martinez@sjsu.edu,DATA200,C,62
100041,Alex,Martinez,alex.martinez@sjsu.edu,ISDA201,F,78
100042,Michael,Williams,michael.williams1@sjsu.edu,ISDA200,A,52
100042,Michael,Williams,michael.williams1@sjsu.edu,ISDA204,B,78
100042,Michael,Williams,michael.williams1@sjsu.edu,ISDA203,F,51
100043,Emily,Miller,emily.miller@sjsu.edu,DATA203,C,83
100043,Emily,Miller,emily.miller@sjsu.edu,DATA201,B,63
100043,Emily,Miller,emily.miller@sjsu.edu,ISDA201,F,99
100044,Jane,Brown,jane.brown1@sjsu.edu,DATA200,F,83
100044,Jane,Brown,jane.brown1@sjsu.edu,ISDA202,A,56
100044,Jane,Brown,jane.brown1@sjsu.edu,DATA202,D,90
100045,David,Miller,david.miller2@sjsu.edu,DATA204,B,55
100045,David,Miller,david.miller2@sjsu.edu,ISDA201,C,76
100045,David,Miller,david.miller2@sjsu.edu,ISDA202,D,56
100046,Emily,Williams,emily.williams@sjsu.edu,DATA203,A,96
100046,Emily,Williams,emily.williams@sjsu.edu,ISDA201,A,56
100046,Emily,Williams,emily.williams@sjsu.edu,ISDA202,B,77
100046,Emily,Williams,emily.williams@sjsu.edu,DATA201,D,65
100047,John,Rodriguez,john.rodriguez@sjsu.edu,DATA201,A,94
100047,John,Rodriguez,john.rodriguez@sjsu.edu,DATA202,C,79
100047,John,Rodriguez,john.rodriguez@sjsu.edu,DATA200,A,61
100047,John,Rodriguez,john.rodriguez@sjsu.edu,DATA203,D,66
100048,Robert,Johnson,robert.johnson1@sjsu.edu,ISDA204,A,85
100048,Robert,Johnson,robert.johnson1@sjsu.edu,ISDA200,F,84
100048,Robert,Johnson,robert.johnson1@sjsu.edu,DATA200,C,74
100048,Robert,Johnson,robert.johnson1@sjsu.edu,ISDA201,B,68
100049,Emily,Martinez,emily.martinez@sjsu.edu,ISDA204,D,59
100049,Emily,Martinez,emily.martinez@sjsu.edu,ISDA203,C,99
100049,Emily,Martinez,emily.martinez@sjsu.edu,DATA202,F,89
100050,David,Jones,david.jones@sjsu.edu,DATA203,A,94
100050,David,Jones,david.jones@sjsu.edu,DATA201,B,64
100050,David,Jones,david.jones@sjsu.edu,DATA202,D,55
100050,David,Jones,david.jones@sjsu.edu,ISDA202,B,61
100051,Michael,Williams,michael.williams2@sjsu.edu,DATA204,F,75
100051,Michael,Williams,michael.williams2@sjsu.edu,ISDA203,F,86
100051,Michael,Williams,michael.williams2@sjsu.edu,DATA200,F,74
100051,Michael,Williams,michael.williams2@sjsu.edu,DATA202,D,56
100052,Jane,Smith,jane.smith@sjsu.edu,DATA200,F,58
100052,Jane,Smith,jane.smith@sjsu.edu,ISDA203,B,62
100052,Jane,Smith,jane.smith@sjsu.edu,ISDA204,B,65
100053,David,Johnson,david.johnson1@sjsu.edu,DATA204,D,54
100053,David,Johnson,david.johnson1@sjsu.edu,ISDA202,A,75
100053,David,Johnson,david.johnson1@sjsu.edu,DATA203,F,67
100053,David,Johnson,david.johnson1@sjsu.edu,ISDA203,A,94
100054,John,Williams,john.williams2@sjsu.edu,DATA200,C,69
100054,John,Williams,john.williams2@sjsu.edu,ISDA203,D,83
100054,John,Williams,john.williams2@sjsu.edu,ISDA204,F,50
100055,Alex,Rodriguez,alex.rodriguez@sjsu.edu,DATA203,D,61
100055,Alex,Rodriguez,alex.rodriguez@sjsu.edu,ISDA203,C,75
100055,Alex,Rodriguez,alex.rodriguez@sjsu.edu,DATA201,D,73
100055,Alex,Rodriguez,alex.rodriguez@sjsu.edu,ISDA202,F,54
100056,Laura,Johnson,laura.johnson1@sjsu.edu,DATA203,B,88
100056,Laura,Johnson,laura.johnson1@sjsu.edu,ISDA201,D,72
100056,Laura,Johnson,laura.johnson1@sjsu.edu,DATA202,F,59
100057,Sarah,Johnson,sarah.johnson@sjsu.edu,ISDA200,B,100
100057,Sarah,Johnson,sarah.johnson@sjsu.edu,ISDA203,C,64
100057,Sarah,Johnson,sarah.johnson@sjsu.edu,DATA203,C,82
100057,Sarah,Johnson,sarah.johnson@sjsu.edu,DATA201,B,90
100058,David,Miller,david.miller3@sjsu.edu,ISDA201,B,85
100058,David,Miller,david.miller3@sjsu.edu,DATA203,D,96
